symbol,name,sector,source_etfs
NVDA,NVIDIA CORP,Information Technology,IVV
AAPL,APPLE INC,Information Technology,IVV
MSFT,MICROSOFT CORP,Information Technology,IVV
AMZN,AMAZON.COM INC,Consumer Discretionary,IVV
GOOGL,ALPHABET INC CLASS A,Communication,IVV
AVGO,BROADCOM INC,Information Technology,IVV
GOOG,ALPHABET INC CLASS C,Communication,IVV
META,META PLATFORMS INC CLASS A,Communication,IVV
TSLA,TESLA INC,Consumer Discretionary,IVV
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,IVV
JPM,JPMORGAN CHASE & CO,Financials,IVV
LLY,ELI LILLY,Health Care,IVV
XOM,EXXON MOBIL CORP,Energy,IVV
MU,MICRON TECHNOLOGY INC,Information Technology,IVV
WMT,WALMART INC,Consumer Staples,IVV
AMD,ADVANCED MICRO DEVICES INC,Information Technology,IVV
V,VISA INC CLASS A,Financials,IVV
JNJ,JOHNSON & JOHNSON,Health Care,IVV
COST,COSTCO WHOLESALE CORP,Consumer Staples,IVV
INTC,INTEL CORPORATION CORP,Information Technology,IVV
CAT,CATERPILLAR INC,Industrials,IVV
MA,MASTERCARD INC CLASS A,Financials,IVV
NFLX,NETFLIX INC,Communication,IVV
ABBV,ABBVIE INC,Health Care,IVV
CVX,CHEVRON CORP,Energy,IVV
CSCO,CISCO SYSTEMS INC,Information Technology,IVV
BAC,BANK OF AMERICA CORP,Financials,IVV
PG,PROCTER & GAMBLE,Consumer Staples,IVV
UNH,UNITEDHEALTH GROUP INC,Health Care,IVV
HD,HOME DEPOT INC,Consumer Discretionary,IVV
LRCX,LAM RESEARCH CORP,Information Technology,IVV
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,IVV
AMAT,APPLIED MATERIAL INC,Information Technology,IVV
KO,COCA-COLA,Consumer Staples,IVV
GE,GE AEROSPACE,Industrials,IVV
GEV,GE VERNOVA INC,Industrials,IVV
GS,GOLDMAN SACHS GROUP INC,Financials,IVV
ORCL,ORACLE CORP,Information Technology,IVV
MRK,MERCK & CO INC,Health Care,IVV
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,IVV
TXN,TEXAS INSTRUMENT INC,Information Technology,IVV
WFC,WELLS FARGO,Financials,IVV
RTX,RTX CORP,Industrials,IVV
LIN,LINDE PLC,Materials,IVV
KLAC,KLA CORP,Information Technology,IVV
MS,MORGAN STANLEY,Financials,IVV
C,CITIGROUP INC,Financials,IVV
PEP,PEPSICO INC,Consumer Staples,IVV
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,IVV
MCD,MCDONALDS CORP,Consumer Discretionary,IVV
NEE,NEXTERA ENERGY INC,Utilities,IVV
VZ,VERIZON COMMUNICATIONS INC,Communication,IVV
ADI,ANALOG DEVICES INC,Information Technology,IVV
QCOM,QUALCOMM INC,Information Technology,IVV
AMGN,AMGEN INC,Health Care,IVV
DIS,WALT DISNEY,Communication,IVV
T,AT&T INC,Communication,IVV
APH,AMPHENOL CORP CLASS A,Information Technology,IVV
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,IVV
BA,BOEING,Industrials,IVV
ANET,ARISTA NETWORKS INC,Information Technology,IVV
TJX,TJX INC,Consumer Discretionary,IVV
AXP,AMERICAN EXPRESS,Financials,IVV
ETN,EATON PLC,Industrials,IVV
CRM,SALESFORCE INC,Information Technology,IVV
ISRG,INTUITIVE SURGICAL INC,Health Care,IVV
GILD,GILEAD SCIENCES INC,Health Care,IVV
SNDK,SANDISK CORP,Information Technology,IVV
UNP,UNION PACIFIC CORP,Industrials,IVV
ABT,ABBOTT LABORATORIES,Health Care,IVV
COP,CONOCOPHILLIPS,Energy,IVV
BLK,BLACKROCK INC,Financials,IVV
UBER,UBER TECHNOLOGIES INC,Industrials,IVV
SCHW,CHARLES SCHWAB CORP,Financials,IVV
PFE,PFIZER INC,Health Care,IVV
WELL,WELLTOWER INC,Real Estate,IVV
DE,DEERE,Industrials,IVV
WDC,WESTERN DIGITAL CORP,Information Technology,IVV
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,IVV
PANW,PALO ALTO NETWORKS INC,Information Technology,IVV
HON,HONEYWELL INTERNATIONAL INC,Industrials,IVV
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,IVV
LOW,LOWES COMPANIES INC,Consumer Discretionary,IVV
PLD,PROLOGIS REIT INC,Real Estate,IVV
SPGI,S&P GLOBAL INC,Financials,IVV
GLW,CORNING INC,Information Technology,IVV
VRT,VERTIV HOLDINGS CLASS A,Industrials,IVV
BMY,BRISTOL MYERS SQUIBB,Health Care,IVV
MO,ALTRIA GROUP INC,Consumer Staples,IVV
NEM,NEWMONT,Materials,IVV
APP,APPLOVIN CORP CLASS A,Information Technology,IVV
